nEvt,trueE,nPi0,nPiCh,nShowers,maxShowerLength,maxOpenAngle,nTracks,maxTrackLength,nStubs
25,1.25714,1,0,1,33.8323,0.0821156,3,73.7123,4
26,1.11413,1,0,1,74.2945,0.0575772,1,78.1604,1
27,1.10039,2,0,5,61.7373,0.361254,1,50.1823,5
28,0.832673,0,0,0,0,0,1,8.58769,8
29,1.27418,1,0,2,13.6194,0.123982,2,70.7272,5
30,1.27628,2,0,3,54.175,0.129653,3,249.09,2
31,1.355,0,0,1,13.4552,0.194831,4,114.884,2
32,1.23123,0,1,1,15.5081,0.178755,4,211.845,8
33,3.18764,2,1,2,58.2185,0.469648,4,137.097,5
34,1.86176,1,0,2,118.564,0.106636,4,297.678,5
35,0.875234,1,0,1,15.7061,0.138666,1,20.2504,0
36,0.952546,0,0,0,0,0,2,251.09,3
37,0.786698,1,0,4,51.7731,0.22423,0,0,2
38,1.26277,0,0,1,7.3219,0.325503,2,62.1242,3
39,2.54379,0,1,0,0,0,4,125.925,0
40,1.22998,0,0,0,0,0,2,309.68,5
41,0.585231,0,1,0,0,0,1,5.57963,1
42,4.05287,1,0,2,99.296,0.259735,2,503.14,2
43,4.0371,1,1,4,110.494,0.320773,3,244.528,2
44,3.34271,0,1,1,7.4441,0.403945,5,152.148,2
45,1.90309,1,1,2,23.8775,0.310319,2,100.432,4
46,4.07472,1,1,3,86.1117,0.209565,3,147.699,3
47,1.08653,0,1,0,0,0,2,76.6613,1
48,1.726,0,3,3,7.83964,0.218255,5,33.8727,5
49,1.15797,0,0,1,12.9202,0.222998,1,58.0146,0
50,3.15224,0,4,0,0,0,8,146.225,10
51,1.95334,2,4,2,31.0153,0.33989,4,246.528,1
52,1.45182,0,1,1,5.60186,0.236523,6,130.569,8
53,2.81183,2,0,1,93.6572,0.146986,0,0,1
54,1.32953,0,0,4,81.8412,0.11599,2,50.5705,6
55,1.27929,0,2,1,54.5781,0.0517926,2,226.952,5
56,2.30467,1,0,1,8.03997,0.110869,3,376.7,5
57,1.35182,1,1,2,67.3273,0.604287,1,58.375,4
58,3.54963,1,4,3,77.7665,0.284733,8,206.217,9
59,1.39038,1,2,2,95.6946,0.0783644,2,170.1,5
60,1.48369,1,1,4,26.1147,0.421308,3,159.996,9
61,1.19483,0,1,1,52.1095,0.0916033,1,27.6622,4
62,1.85741,2,1,1,13.5313,0.0844496,1,4.67602,3
63,1.98413,2,0,3,142.287,0.168155,1,24.7789,3
64,1.88948,2,0,5,172.248,0.332666,0,0,2
65,4.58806,0,1,1,115.247,0.0814189,3,174.053,0
66,2.02872,0,3,1,11.3636,0.124332,3,191.764,7
67,0.916579,1,0,3,23.9538,0.556931,1,46.2725,6
68,0.964497,1,1,2,33.3574,0.206001,3,72.0869,4
69,1.85949,2,1,4,18.8739,0.556015,4,26.0234,4
70,2.55713,0,1,1,30.959,0.571742,2,476.275,2
71,1.70512,0,1,1,12.3398,0.092851,3,195.866,4
72,2.24691,1,0,2,37.2263,0.365337,3,54.0363,9
73,2.02153,1,0,2,44.5025,0.627341,4,78.32,2
74,1.24501,0,1,1,3.55012,0.299548,1,321.948,1
75,4.28235,0,1,0,0,0,2,119.177,1
76,2.88537,0,2,3,111.412,0.286363,3,155.264,2
77,4.67918,0,2,1,4.34176,0.0536573,9,335.04,2
78,2.59883,2,2,5,30.2541,0.883651,3,63.5252,4
79,3.10601,2,0,2,104.586,0.303258,1,72.7135,3
80,4.04404,0,1,1,15.9963,0.416923,3,102.025,5
81,1.62738,0,0,0,0,0,1,144.157,1
82,2.84279,1,1,3,66.1817,0.514208,2,97.8746,5
83,0.862031,0,0,1,11.8715,0.214129,4,27.6909,5
84,1.14968,2,0,1,10.8418,0.280078,5,166.356,3
85,2.60584,0,1,4,17.457,1.04472,4,200.624,4
86,0.929534,1,0,2,93.7344,0.0929943,2,129.194,2
87,0.913244,1,0,2,26.8741,0.168674,2,62.4137,1
88,4.09337,1,1,2,53.9813,0.353226,6,132.81,9
89,1.83052,1,0,2,60.0051,0.218447,2,302.497,2
90,1.73891,0,1,2,40.3064,0.702343,2,262.016,2
91,1.03095,1,0,1,48.4754,0.134526,0,0,1
92,2.48817,1,3,1,0.591572,0.575122,5,77.1612,5
93,2.04409,1,1,3,64.2462,0.328395,2,109.249,6
94,0.973353,0,0,0,0,0,2,114.898,1
95,2.24691,1,1,2,89.8959,0.217701,3,118.726,0
96,2.20498,1,1,4,96.2343,0.111544,3,406.901,3
97,0.909731,2,0,2,56.1615,0.125142,2,109.263,3
98,0.573677,2,0,3,11.2659,0.683515,1,68.2079,9
99,2.50243,0,2,0,0,0,5,128.191,4
100,1.4317,2,0,4,68.2453,0.264738,3,55.1474,7
1,3.69554,1,1,4,68.7626,0.239507,5,374.301,6
2,1.0506,0,1,4,18.6072,0.209078,2,67.1141,3
3,0.933432,0,1,2,7.21519,0.546857,2,19.6786,4
4,1.05495,1,0,3,31.035,0.912656,4,41.1681,1
5,3.07943,2,0,3,96.0668,0.252444,3,273.475,3
